Sample;Gender;Based;Research1;Research2;Field1;Field2;Position;SoftAnalysis1;SoftAnalysis2;SoftAnalysis3;SoftAnalysis4;OpenAllAnalysis;OpenSomeAnalysis;SoftWriting1;SoftWriting2;SoftWriting3;SoftWriting4;OpenAllWriting;OpenSomeWriting;SoftViz1;SoftViz2;SoftViz3;SoftViz4;OpenAllViz;OpenSomeViz;WhichKnownRepositories;KnownRepositories;PublishedSomething;WillGA;WillGAIf;WillGANo;PublishedNoWillPreprint;WillPreprintWhich;WillPreprintWhichWhy;WillPreprintNo;DidGA;WhyYes1;WhyYes2;WhyYes3;DidGANo1;DidGANo2;NoGAWillGreen;DidPreprint;LevelPreprint;WhichPreprint;PreprintNo1;PreprintNo2;WillPreprint;Methods1;Methods2;Replicability;NewData;RawData;WhereRaw1;WhereRaw2;RawRepo1;RawRepo2;RawRepo3;Recognition;MoreOD;Contact1;Contact2;Contact3;Contact4;Contact5;ContactOption;Social;Part2;Timestamp
6;Male;Europe;Africa;Europe;Agronomy;Archaeology;Junior_postdoc;Excel;R;SPSS;;No;Yes;WordPerfect;;;;No;No;Illustrator;Tilia;;;No;No;;No;Yes;;;;;;;;Yes;Required;Facilitated;;;;;No;;;;;Yes;Detailed;;Yes;6;100;Main;Supplementary;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/05/26_7:02:12_pm_CET
8;Male;Europe;Africa;Americas;Archaeology;Palaeoenvironment;Senior_tenured;Canoco;Excel;;;No;No;Docs;Word;OpenOffice_LibreOffice;;No;Yes;Illustrator;Office;R;;No;Yes;ResearchGate, PANGEA;Yes;Yes;;;;;;;;Yes;Facilitated;;;;;;Yes;2;Reccomendation;;;;Reference;Detailed;Yes;6;80;Main;Supplementary;;;;Yes;Yes;Email;;;;;Email;No;Yes;2021/05/27_5:00:39_pm_CET
9;Male;Europe;Americas;;Archaeology;Palaeoenvironment;Junior_postdoc;R;;;;Yes;Yes;Docs;Word;;;No;No;C2;R;;;No;Yes;"bioRxiv; ZeNodo; e-Repositori (Univeritat Pompeu Fabra Digital Repository); GitHub";Yes;Yes;;;;;;;;No;;;;Unaware;;;No;;;Plagiarism;;Yes;Detailed;;Yes;4;40;Supplementary;;Institutional;;;Incentive;Yes;Email;Twitter;;;;Email;Yes;Yes;2021/05/27_5:40:02_pm_CET
10;Female;Europe;Africa;Asia;Archaeology;Botany;Senior_tenured;Sheets;Excel;R;;No;Yes;Docs;HackMD;LaTeX;Word;No;Yes;Office;R;;;No;Yes;Open Science Framework, Zotero, Institutional;Yes;Yes;;;;;;;;Yes;Required;Planned;Facilitated;;;;Yes;2;Subject;;;;Detailed;;Yes;6;100;Main;Supplementary;Institutional;General;Personal;Yes;Yes;Email;Twitter;;;;Email;Yes;Yes;2021/05/27_7:09:35_pm_CET
11;Male;Europe;Europe;;Archaeology;;Junior_postdoc;Excel;R;;;No;Yes;Docs;Word;;;No;No;Office;R;;;No;Yes;PHYTCORE;Yes;Yes;;;;;;;;No;;;;Money;No_option;;No;;;;;Yes;Detailed;;Yes;4;0;Main;Supplementary;;;;Incentive;Yes;Email;Twitter;;;;Email;Yes;Yes;2021/05/28_12:00:39_pm_CET
13;Female;Europe;Asia;;Archaeology;;Junior_postdoc;Excel;R;;;No;Yes;Docs;Word;;;No;No;Illustrator;Office;SYSTAT;;No;No;;No;Yes;;;;;;;;Yes;Facilitated;;;;;;Yes;4;Used;;;;Detailed;Reference;Yes;4;0;Main;;;;;Maybe;Yes;Email;Twitter;Facebook;Slack;Web;Email;Yes;Yes;2021/05/31_4:19:01_pm_CET
15;Female;Americas;Americas;;Botany;;Senior_tenured;Excel;R;PC-ORD;;No;Yes;Word;;;;No;No;C2;Office;R;;No;Yes;;No;Yes;;;;;;;;No;;;;Unethical;;Yes;Yes;3;;;;;Modifications;;Yes;6;60;Main;Supplementary;;;;Maybe;Yes;Email;;;;;Email;No;No;2021/06/01_2:13:37_pm_CET
16;Female;Europe;Europe;;Archaeology;Palaeoenvironment;Senior_tenured;Canoco;Excel;;;No;No;Word;;;;No;No;Office;;;;No;No;;No;Yes;;;;;;;;Yes;Planned;;;;;;No;;;Plagiarism;Unscientific;;Detailed;;Yes;0;40;Main;Supplementary;Institutional;;;Maybe;Yes;Email;;;;;Email;No;No;2021/06/01_6:19:00_am_CET
17;Female;Europe;Asia;Europe;Archaeology;Palaeoenvironment;Senior_tenured;Excel;R;PAST;;No;Yes;Word;;;;No;No;Illustrator;Office;Tilia;Tilia;No;No;EPD, Neotoma, Pangea;Yes;Yes;;;;;;;;Yes;Required;;;;;;Yes;3;Reccomendation;;;;Modifications;Detailed;Yes;0;60;Supplementary;;Subject-based;;;No;Yes;Email;;;;;Email;No;Yes;2021/06/01_8:36:36_am_CET
18;Female;Europe;Africa;Europe;Archaeology;;Senior_untenured;Excel;;;;No;No;Word;;;;No;No;Illustrator;Office;;;No;No;;No;Yes;;;;;;;;No;;;;Useless;Unethical;;No;;;Unscientific;;;Detailed;;Yes;0;80;Main;Supplementary;;;;Maybe;Maybe;Email;;;;;Email;No;Yes;2021/06/01_9:02:34_am_CET
