Sample;Gender;Based;Research1;Research2;Field1;Field2;Position;SoftAnalysis1;SoftAnalysis2;SoftAnalysis3;SoftAnalysis4;OpenAllAnalysis;OpenSomeAnalysis;SoftWriting1;SoftWriting2;SoftWriting3;SoftWriting4;OpenAllWriting;OpenSomeWriting;SoftViz1;SoftViz2;SoftViz3;SoftViz4;OpenAllViz;OpenSomeViz;WhichKnownRepositories;KnownRepositories;PublishedSomething;WillGA;WillGAIf;WillGANo;PublishedNoWillPreprint;WillPreprintWhich;WillPreprintWhichWhy;WillPreprintNo;DidGA;WhyYes1;WhyYes2;WhyYes3;DidGANo1;DidGANo2;NoGAWillGreen;DidPreprint;LevelPreprint;WhichPreprint;PreprintNo1;PreprintNo2;WillPreprint;Methods1;Methods2;Replicability;NewData;RawData;WhereRaw1;WhereRaw2;RawRepo1;RawRepo2;RawRepo3;Recognition;MoreOD;Contact1;Contact2;Contact3;Contact4;Contact5;ContactOption;Social;Part2;Timestamp
55;Female;Americas;Americas;;Archaeology;Botany;Junior_postdoc;Excel;SPSS;;;No;No;Word;;;;No;No;Office;;;;No;No;Suqu__a - Repositorio Digital del Programa de Arqueolog__a Digital;Yes;Yes;;;;;;;;No;;;;Too_expensive;;;No;;;Unscientific;;;Detailed;;Yes;4;0;Main;;;;;Incentive;Yes;Email;;;;;Email;No;Yes;2021/10/13_1:56:31_pm_CET
56;Female;Americas;Americas;;Archaeology;;PhD_candidate;Sheets;Excel;;;No;No;Docs;Word;;;No;No;C2;Office;R;;No;Yes;;No;Yes;;;;;;;;No;;;;Too_expensive;Money;Yes;No;;;Useless;Unscientific;;Reference;Modifications;Yes;0;0;Not_applicable;;;;;Maybe;Yes;Email;Instagram;;;;Email;Yes;Yes;2021/10/13_5:58:03_am_CET
57;Female;Americas;Americas;;Archaeology;;Senior_postdoc;Excel;;;;No;No;Word;;;;No;No;Office;;;;No;No;PhytCore DB. 2016. Phytolith online database. http://phytcore.org/phytolith/ index.php?rdm=yTOKp2eCSk&action=home;Yes;Yes;;;;;;;;No;;;;Money;;;Yes;3;Reccomendation;;;;Detailed;;Yes;0;100;Main;;;;;Maybe;Yes;Email;;;;;Email;No;No;2021/10/13_8:58:38_pm_CET
58;Female;Americas;Americas;;Archaeology;Botany;Senior_tenured;Excel;;;;No;No;Word;;;;No;No;Office;;;;No;No;;No;Yes;;;;;;;;No;;;;Money;Unethical;Yes;Yes;2;Reccomendation;;;;;;Yes;6;40;Main;Supplementary;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/10/14_8:10:47_pm_CET
60;Female;Americas;Americas;;Archaeology;;Senior_postdoc;Excel;;;;No;No;Word;;;;No;No;Office;;;;No;No;SUQUIA;Yes;Yes;;;;;;;;No;;;;Money;;;No;;;Useless;;;Modifications;;Yes;6;80;Main;;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/10/17_11:51:11_pm_CET
62;Male;Asia;Asia;;Archaeology;Botany;Junior_postdoc;Excel;OpenOffice_LibreOffice;SPSS;;No;Yes;Word;OpenOffice_LibreOffice;;;No;Yes;C2;R;;Origin;No;Yes;Noaa;Yes;Yes;;;;;;;;Yes;Planned;;;;;;No;;;Opposition;;;Detailed;;Yes;6;100;Main;Supplementary;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/10/27_4:22:14_am_CET
63;Male;Asia;Asia;;Geochemistry;Palaeoenvironment;PhD_candidate;Excel;R;SPSS;;No;Yes;Word;;;;No;No;Illustrator;Office;Tilia;CorelDRAW;No;Yes;;No;Yes;;;;;;;;Yes;Facilitated;;;;;;No;;;;;Yes;Modifications;;Yes;0;0;;;;;;Incentive;Yes;Email;;;;;Email;No;Yes;2021/10/27_5:07:40_pm_CET
65;Female;Europe;Americas;Europe;Archaeology;;Senior_tenured;Excel;;;;No;No;Word;;;;No;No;Office;Tilia;;;No;No;Archaeology Data Service, university repository;Yes;Yes;;;;;;;;Yes;Required;Planned;Facilitated;;;;Yes;2;Subject;;;;Detailed;;Yes;4;40;Main;Supplementary;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/11/08_10:54:46_am_CET
66;Female;Australia_Pacific;Asia;Australia_Pacific;Archaeology;;Senior_untenured;Excel;SPSS;;;No;No;Docs;Word;;;No;No;Illustrator;Office;Tilia;;No;No;;No;Yes;;;;;;;;No;;;;Money;No_option;Yes;No;;;Opposition;Unscientific;;Detailed;;Yes;6;60;Supplementary;;;;;No;Yes;Email;;;;;Email;No;Yes;2021/11/09_2:30:25_am_CET
67;Female;Americas;Americas;;Archaeology;Palaeoenvironment;Junior_postdoc;Excel;R;;;No;Yes;Word;;;;No;No;C2;Tilia;;;No;No;I use to open acess repositories to references;Yes;Yes;;;;;;;;No;;;;Money;;;Yes;3;;;;;Detailed;;Yes;4;40;Main;;;;;Incentive;Yes;Email;;;;;Email;No;Yes;2021/11/11_5:04:10_pm_CET
68;Female;Africa;Africa;;Archaeology;Palaeoenvironment;Junior_postdoc;Excel;PAST;;;No;No;Word;;;;No;No;C2;;;;No;No;academia.edu;No;Yes;;;;;;;;No;;;;Money;Too_expensive;;No;;;Unaware;;;Detailed;;Yes;4;0;;;;;;No;Yes;Email;;;;;Email;No;Yes;2021/11/12_4:15:46_pm_CET
69;Female;Americas;Americas;;Botany;Paleobotany;Senior_tenured;Excel;R;PC-ORD;;No;Yes;Word;;;;No;No;C2;Office;R;;No;Yes;;No;Yes;;;;;;;;No;;;;Money;Too_expensive;;No;;;Useless;Burden;;Detailed;;Yes;6;80;Main;Supplementary;;;;No;Yes;Email;;;;;Email;No;No;2021/11/16_2:15:14_pm_CET
70;Female;Americas;Americas;;Agronomy;;PhD_candidate;Excel;Infostat;;;No;No;Word;;;;No;No;Illustrator;Office;Tilia;;No;No;;No;Yes;;;;;;;;No;;;;Money;;;Yes;1;;;;;Reference;Detailed;Yes;4;0;Main;Supplementary;Institutional;;;Maybe;Maybe;Email;;;;;Email;No;No;2021/11/18_3:47:13_pm_CET
71;Female;Americas;Americas;;Palaeoenvironment;Paleontology;Junior_postdoc;Excel;Infostat;;;No;No;Docs;Word;;;No;No;Office;CorelDRAW;C2;;No;Yes;;No;Yes;;;;;;;;No;;;;Money;Too_expensive;;No;;;;;Yes;Detailed;;Yes;4;20;Supplementary;;;;;Maybe;Maybe;Email;Instagram;;;;Email;Yes;Yes;2021/11/22_11:21:15_pm_CET
72;Female;Europe;Africa;;Palaeoenvironment;;Senior_postdoc;R;;;;Yes;Yes;Docs;Word;;;No;No;Illustrator;R;;;No;Yes;Dryad, Global Paleofire Database;Yes;Yes;;;;;;;;No;;;;Money;Too_expensive;Yes;No;;;;;Yes;Detailed;;Yes;4;40;Supplementary;;Subject-based;Personal;;Incentive;Yes;Email;;;;;Email;No;Yes;2021/11/25_2:54:39_pm_CET
73;Male;Europe;Americas;Australia_Pacific;Botany;Geochemistry;Junior_postdoc;Excel;R;;;No;Yes;Word;;;;No;No;Illustrator;R;;;No;Yes;;No;Yes;;;;;;;;No;;;;Unaware;No_option;;No;;;;;Yes;Detailed;;Yes;6;20;Supplementary;;General;;;Yes;Yes;Email;;;;;Email;No;Yes;2021/11/25_8:21:24_am_CET
74;Male;Asia;Asia;;Botany;Palaeoenvironment;Senior_tenured;Canoco;Sheets;R;SPSS;No;Yes;Docs;Word;;;No;No;Office;R;;;No;Yes;;No;Yes;;;;;;;;No;;;;Unethical;;Yes;No;;;;;Yes;Detailed;Repository;Yes;4;20;Main;Supplementary;;;;Maybe;Maybe;Email;;;;;Email;No;Yes;2021/11/26_4:09:46_am_CET
75;Male;Asia;Asia;;Palaeoenvironment;;Junior_postdoc;Canoco;Excel;R;;No;Yes;Word;;;;No;No;C2;R;;;No;Yes;PANGAEA;Yes;Yes;;;;;;;;No;;;;Money;Too_expensive;;No;;;;;Yes;Reference;;Yes;4;0;Supplementary;;;;;Incentive;Yes;Email;;;;;Email;No;Yes;2021/11/26_7:05:11_am_CET
76;Male;Europe;Americas;;Archaeology;Botany;Junior_postdoc;Excel;PAST;;;No;No;Word;OpenOffice_LibreOffice;;;No;Yes;Illustrator;;;;No;No;;No;Yes;;;;;;;;No;;;;Money;Too_expensive;;Yes;5;Access;;;;Detailed;;Yes;4;100;Main;Supplementary;;;;No;Maybe;Email;Web;;;;Email;No;No;2021/11/29_11:51:49_am_CET
77;Male;Americas;Americas;;Botany;;Junior_postdoc;Excel;OpenOffice_LibreOffice;;;No;Yes;Docs;Word;;;No;No;Grapher;Office;R;;No;Yes;;No;Yes;;;;;;;;No;;;;Money;;;No;;;Opposition;;;Detailed;;Yes;4;0;Supplementary;;;;;Maybe;Yes;Email;Twitter;Facebook;;;Email;Yes;Yes;2021/11/29_7:24:58_pm_CET
78;Male;Asia;Asia;;Geochemistry;;Senior_tenured;Excel;SPSS;;;No;No;Word;;;;No;No;Grapher;;;;No;No;;No;Yes;;;;;;;;No;;;;Too_expensive;;;No;;;Useless;;;Detailed;;Yes;4;80;;;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/12/01_4:29:16_pm_CET
79;Female;Americas;Americas;;Botany;Bioinformatics;Junior_postdoc;Excel;R;;;No;Yes;Docs;Word;;;No;No;Office;R;;;No;Yes;Yes, Global Biodiversity Information Facility - GBIF;Yes;Yes;;;;;;;;Yes;Planned;Ethical;;;;;Yes;4;;;;;Detailed;;Yes;4;60;Supplementary;;Institutional;Subject-based;;Yes;Yes;Email;Slack;;;;Email;Yes;Yes;2021/12/03_6:48:25_pm_CET
80;Female;Europe;Europe;;Archaeology;Palaeoenvironment;Senior_tenured;Excel;;;;No;No;Word;;;;No;No;Office;Tilia;;;No;No;;No;Yes;;;;;;;;Yes;Facilitated;;;;;;No;;;;;Yes;Detailed;;Yes;6;80;Main;Supplementary;;;;Maybe;Yes;Email;;;;;Email;No;No;2021/12/05_12:23:04_pm_CET
81;Male;Europe;Asia;;Archaeology;Palaeoenvironment;Junior_postdoc;Excel;;;;No;No;Word;;;;No;No;Illustrator;Tilia;;;No;No;Researchgate, ArcheoScience PhytCore DB, Phytolith Sample database;Yes;Yes;;;;;;;;No;;;;Unaware;;Yes;No;;;Opposition;Unscientific;;Reference;Repository;Yes;4;0;;;;;;Maybe;Yes;Email;;;;;Email;No;No;2021/12/09_12:24:48_pm_CET
